Study_Hours,Attendance_Pct,Sleep_Hours,Previous_Score,Extracurricular,Final_Score
8.1,90.2,5.8,33.6,0,74.3
9.0,75.3,7.2,38.0,1,88.0
3.2,98.4,8.2,30.3,1,80.4
1.1,70.9,9.4,100.0,1,71.7
2.3,99.2,8.8,86.2,1,77.7
4.3,83.4,8.1,85.1,0,78.4
8.2,81.7,8.1,65.7,0,88.3
8.6,58.3,9.7,51.0,0,82.5
0.1,94.1,5.8,40.6,0,52.1
5.1,71.4,4.0,49.9,1,73.1
4.2,58.1,5.6,56.3,0,55.5
2.2,50.6,5.3,82.9,1,52.7
1.2,78.0,8.0,67.8,0,67.3
3.4,76.4,7.8,35.4,0,52.5
9.4,86.0,7.6,31.3,0,83.9
3.2,94.5,4.1,37.2,1,77.8
5.2,54.0,8.4,58.7,0,66.7
7.0,86.6,5.9,95.3,1,88.7
3.6,59.4,8.0,74.6,1,69.4
9.7,92.9,7.3,86.1,0,100.0
9.6,91.0,6.1,62.6,1,96.4
2.5,77.0,4.8,55.3,0,62.0
5.0,85.5,4.6,37.6,1,64.9
3.0,65.7,9.0,91.3,0,79.1
2.8,73.6,9.5,84.8,1,77.7
0.4,91.1,7.9,41.8,1,63.9
6.1,73.0,4.6,65.9,0,70.3
5.0,67.9,6.4,64.1,0,74.6
0.5,74.7,8.4,73.8,0,60.4
2.8,91.4,8.7,96.2,0,82.4
9.1,66.8,4.7,70.6,1,81.6
2.4,58.7,4.0,67.8,1,53.4
1.4,85.6,8.3,33.5,1,64.1
4.9,91.3,6.1,34.4,1,70.6
9.9,55.0,5.5,43.1,0,71.9
2.4,62.0,4.1,32.3,1,47.3
6.7,57.1,7.2,82.0,0,80.2
7.6,67.4,9.1,80.6,1,87.0
2.4,72.5,9.7,39.5,0,60.2
7.3,87.4,7.4,88.5,0,91.9
3.7,82.6,7.1,40.8,0,57.4
6.3,81.0,4.5,51.1,0,66.6
6.3,67.6,7.3,47.4,0,72.5
5.4,92.1,6.3,56.1,1,77.0
0.9,73.6,7.6,47.8,0,59.1
8.4,99.0,6.3,64.2,1,98.8
3.2,81.7,5.4,58.5,1,71.0
1.9,56.3,4.6,99.1,0,67.6
0.4,83.8,5.9,33.9,1,53.2
5.9,66.3,4.6,40.0,1,68.8
6.8,84.3,5.1,33.7,1,72.4
0.2,53.5,9.9,73.8,0,64.9
5.1,58.7,6.7,33.8,0,67.4
2.3,92.8,7.2,88.6,0,75.9
6.5,61.4,9.2,65.8,0,78.4
1.7,91.9,10.0,66.9,1,80.9
6.9,64.0,7.5,69.3,1,80.1
3.9,82.1,8.9,42.0,1,69.0
9.4,84.7,6.0,43.8,1,91.3
1.4,75.6,5.8,52.3,1,58.9
3.4,65.3,6.4,71.5,1,68.5
1.1,60.6,8.0,44.7,0,47.6
9.2,51.7,8.1,38.1,1,70.7
8.8,65.2,5.9,97.9,1,93.3
2.6,82.7,4.8,31.5,1,62.2
6.6,96.9,7.8,86.2,0,91.9
8.2,93.6,4.8,85.2,1,100.0
5.6,88.3,7.5,50.8,1,76.9
5.3,89.4,8.2,39.5,0,70.2
2.4,83.2,8.2,40.2,1,65.2
0.9,63.0,8.5,78.8,0,60.0
9.0,95.4,9.2,75.0,0,100.0
9.0,83.5,7.0,84.8,1,94.9
6.3,78.0,8.4,95.6,1,96.9
3.4,55.5,7.7,78.4,0,72.9
3.5,72.4,5.1,40.9,1,60.8
7.3,73.0,4.2,47.0,1,79.5
9.0,93.2,5.7,89.0,0,93.1
8.9,77.3,6.7,44.7,0,86.1
7.8,69.0,7.7,35.1,1,81.5
6.4,98.8,9.1,79.2,0,96.5
0.8,55.5,5.2,58.2,1,50.1
1.6,71.1,4.8,94.4,1,55.0
9.0,52.1,9.8,75.5,1,86.2
6.1,87.0,4.6,36.3,1,70.7
0.1,95.9,6.9,96.3,0,66.9
1.0,64.0,7.5,48.1,1,55.2
6.6,92.9,7.2,53.6,0,80.8
0.1,64.6,4.5,58.2,1,46.3
1.6,95.5,4.3,33.6,1,55.2
5.5,87.7,4.6,64.8,0,72.7
6.9,90.2,7.5,38.6,1,86.7
6.5,50.9,7.3,58.1,0,65.9
2.2,98.1,5.4,54.5,0,64.4
7.1,86.3,7.8,84.1,1,91.6
2.4,65.2,8.9,86.2,1,72.9
3.3,91.5,4.2,40.7,1,67.3
7.5,64.1,7.0,55.7,1,66.3
6.5,93.6,8.1,56.1,0,88.3
8.5,55.6,5.5,40.6,1,78.9
6.6,85.2,5.8,85.9,1,84.4
5.7,77.0,7.7,79.5,1,79.9
0.9,54.8,9.4,43.3,1,51.1
3.7,62.1,8.9,55.7,1,64.3
2.7,50.6,7.5,37.4,0,51.0
2.4,73.4,8.4,74.0,1,63.0
9.7,65.1,6.2,38.5,0,73.8
3.9,79.9,7.8,99.0,1,89.9
8.9,64.9,6.8,84.6,1,87.1
6.3,65.0,5.1,57.3,1,77.4
7.9,87.2,8.2,70.5,0,92.2
5.0,52.4,7.3,93.8,1,68.7
5.8,95.1,6.2,68.8,0,85.0
4.9,92.6,9.5,42.2,0,76.4
2.0,83.4,4.1,56.5,1,60.0
7.2,79.7,5.9,89.0,0,87.7
2.8,94.6,4.3,75.1,1,75.6
0.2,59.3,8.6,75.6,1,61.7
6.5,53.9,8.2,90.7,0,83.7
1.8,62.0,6.0,92.6,1,67.1
9.4,89.7,8.1,94.4,1,100.0
9.5,51.7,6.4,36.6,0,70.8
9.1,79.1,8.5,68.1,0,100.0
3.7,99.8,6.7,81.8,0,83.8
0.2,92.8,6.5,83.0,0,75.4
9.3,76.1,9.6,72.5,0,99.7
4.3,53.2,5.5,41.7,0,55.7
9.7,91.6,4.7,85.8,1,100.0
9.6,79.9,7.5,80.4,0,95.4
8.5,55.7,9.8,36.0,0,68.6
2.9,54.7,6.3,62.5,1,60.0
3.9,95.5,4.4,42.2,1,74.3
8.5,83.5,6.0,53.6,0,81.6
3.2,91.5,7.0,31.3,0,65.6
1.7,93.9,5.0,58.0,1,69.7
5.6,78.6,7.9,68.5,0,74.9
9.4,75.9,10.0,73.4,0,93.3
7.0,71.5,6.7,76.4,1,80.0
5.7,65.8,6.1,88.5,0,73.5
1.0,71.7,6.4,45.1,1,49.7
6.2,88.7,4.7,38.4,0,68.1
9.9,80.1,9.3,89.6,1,100.0
1.4,94.6,6.5,41.0,1,59.8
5.2,72.2,6.3,98.2,1,83.5
8.8,80.4,8.0,89.0,0,93.5
7.4,81.6,6.7,65.1,1,90.9
7.0,79.6,7.9,98.7,0,96.5
7.0,85.1,4.4,36.8,1,79.1
3.6,61.9,8.9,51.2,1,67.1
2.9,75.6,9.6,74.7,1,74.5
8.1,55.2,7.9,54.5,0,70.8
8.1,69.2,9.7,95.0,0,100.0
8.7,74.4,4.9,34.6,1,74.9
9.1,82.6,6.9,68.5,0,93.4
5.1,97.5,7.6,71.4,0,88.0
5.0,80.0,7.5,75.7,0,76.0
8.0,87.2,6.4,47.9,1,89.7
6.5,75.3,6.0,55.5,0,77.6
7.0,81.7,4.8,89.1,1,95.0
8.0,53.5,6.4,43.6,1,70.7
8.9,62.7,5.0,87.9,1,82.9
3.4,68.1,8.4,69.4,0,66.1
3.8,73.6,5.3,83.4,1,74.0
0.9,52.3,4.4,80.0,0,50.8
5.8,57.0,7.3,44.5,0,63.2
0.4,63.8,7.6,69.8,1,50.3
4.7,98.6,9.2,90.7,1,94.7
5.4,66.6,7.5,60.2,1,81.9
2.9,74.1,6.1,97.7,0,73.8
5.9,59.8,8.8,61.7,0,75.2
0.3,80.5,7.2,40.0,1,57.9
0.4,64.0,4.5,57.3,1,51.8
8.2,60.3,7.4,96.6,0,91.4
3.6,75.8,9.4,52.4,0,70.5
1.3,50.3,6.4,90.8,1,58.6
5.2,50.4,5.8,91.7,0,66.8
7.7,61.0,4.9,54.5,0,70.7
2.2,51.8,4.9,35.8,0,45.8
6.2,55.4,6.6,80.7,0,72.5
0.9,66.9,7.6,51.8,0,54.5
0.5,90.1,4.5,84.8,0,65.5
5.3,78.6,9.6,61.0,1,84.6
5.4,75.6,8.5,64.0,0,81.8
6.4,64.7,7.5,84.5,1,83.2
7.3,96.6,9.0,56.8,1,87.1
9.8,69.9,4.5,61.0,0,81.7
5.2,54.4,6.9,56.3,1,67.1
3.2,80.9,7.8,55.7,1,63.4
8.0,55.7,9.0,66.8,1,88.5
2.7,67.3,8.7,86.6,0,70.8
4.4,75.4,5.7,55.3,1,71.1
0.8,93.7,9.6,66.7,0,74.6
0.3,74.7,4.7,77.0,1,56.4
9.6,85.1,9.3,48.9,1,97.4
8.4,99.6,9.8,49.4,1,96.3
7.0,56.6,5.1,95.3,1,80.4
4.1,63.7,8.3,80.6,0,68.7
1.7,69.7,4.2,70.4,1,66.6
1.6,71.1,6.4,75.3,1,62.8
2.5,70.6,7.1,32.1,0,57.4
5.5,95.4,7.5,73.3,0,77.1
7.1,85.7,9.6,65.7,0,93.1
6.6,80.4,8.0,68.2,1,90.1
2.8,65.5,6.9,55.2,0,59.7
9.5,91.2,8.9,35.7,0,89.1
7.4,97.8,9.7,43.5,0,89.6
5.5,91.1,4.1,96.6,0,93.3
6.1,50.1,9.9,58.6,0,63.9
4.2,81.8,4.5,62.7,0,71.4
2.5,52.6,8.9,33.7,1,50.7
3.6,62.9,5.7,32.6,0,53.6
7.6,53.0,4.8,80.2,1,76.8
0.1,80.2,6.6,67.7,0,56.2
1.2,84.3,7.9,65.6,0,64.2
0.5,55.7,6.3,47.0,0,40.3
0.4,69.2,4.3,82.1,1,62.3
8.6,72.8,7.6,41.8,0,72.6
7.0,68.5,9.4,43.3,0,78.2
4.7,56.1,6.3,62.2,0,62.4
1.0,70.9,5.3,50.0,0,46.5
4.9,87.6,6.7,47.3,1,76.0
4.7,53.6,4.3,75.2,1,59.8
1.7,54.0,8.9,75.6,1,62.9
4.3,67.7,9.0,87.7,1,74.1
4.0,97.1,7.5,59.2,1,81.4
6.2,83.4,6.1,35.1,0,67.5
6.4,83.9,8.8,49.2,0,77.8
0.5,68.1,7.3,98.6,0,64.7
3.7,79.7,9.0,71.7,1,74.8
6.3,50.5,7.8,79.7,0,73.5
5.0,81.8,8.7,30.5,1,66.4
8.6,95.7,7.6,66.3,0,96.4
6.6,80.6,6.5,32.6,1,81.7
1.6,93.7,9.7,69.8,0,84.2
0.7,86.2,7.2,94.5,0,70.0
6.4,56.0,7.6,97.8,0,83.6
0.3,95.1,5.3,67.8,0,54.5
5.9,53.3,7.8,62.1,1,77.8
9.4,76.7,7.4,96.2,0,100.0
5.8,57.1,5.1,77.2,0,67.6
3.9,50.6,4.4,34.5,0,53.9
6.4,71.1,7.6,62.6,1,79.0
4.6,64.8,8.6,46.8,0,63.9
5.5,74.3,7.1,62.9,0,75.9
9.4,78.9,5.4,61.9,0,82.3
3.9,52.2,8.0,70.8,0,68.1
9.6,56.2,4.5,55.0,0,72.0
9.1,77.9,6.7,41.5,1,80.6
2.0,67.2,5.0,65.3,1,56.0
0.7,86.5,5.1,88.1,1,70.9
1.0,82.6,5.2,76.5,0,59.4
0.2,92.3,6.3,53.7,1,55.9
0.9,84.6,4.3,95.5,0,63.3
6.8,71.5,6.4,93.9,0,84.3
0.7,83.6,7.1,44.7,0,51.3
3.2,63.8,6.9,32.8,0,49.9
8.4,65.3,6.3,81.9,1,96.3
0.2,89.4,9.0,87.9,1,69.7
8.1,72.3,4.9,97.8,1,89.8
2.8,89.9,7.0,92.3,0,76.0
1.2,91.1,4.4,72.0,1,64.4
7.0,92.9,4.4,67.1,1,88.3
6.3,95.8,7.4,31.9,0,81.0
8.8,71.5,7.4,47.3,1,82.9
7.4,65.9,9.3,62.2,0,75.8
8.0,79.1,7.3,74.0,1,95.9
2.8,68.6,9.8,69.0,1,70.9
1.8,80.1,4.3,82.0,1,73.6
7.5,85.3,4.6,49.6,0,68.9
8.1,84.4,4.3,69.5,1,87.9
9.9,68.7,5.1,36.2,1,88.6
4.1,58.3,7.2,59.0,1,64.6
3.7,71.5,7.9,82.5,1,75.1
7.8,57.1,4.3,78.5,0,76.9
3.4,94.5,9.7,99.3,0,84.6
9.3,67.3,9.1,49.5,1,86.3
8.6,57.7,5.8,64.9,1,79.3
4.3,51.3,4.5,53.1,1,55.9
7.5,82.3,5.0,60.8,0,85.2
7.5,81.8,4.8,90.0,1,92.0
1.0,67.0,4.7,77.9,1,60.2
9.0,53.6,7.1,91.8,0,89.7
5.1,70.5,5.5,44.2,0,63.1
8.3,65.6,6.1,91.1,0,83.3
3.2,83.9,9.9,34.2,1,67.1
9.0,80.3,8.1,92.2,0,97.2
3.9,68.2,9.7,53.0,0,63.6
0.1,60.9,4.9,52.0,1,45.5
9.1,99.4,6.3,65.8,0,92.8
0.9,72.7,7.3,95.8,1,77.6
3.2,84.4,4.5,33.3,1,50.2
9.5,57.0,4.0,54.7,0,74.7
9.5,74.3,8.0,90.0,1,100.0
5.7,51.4,7.9,57.7,0,67.2
6.3,75.3,6.5,43.9,0,74.7
4.5,98.2,6.9,59.7,0,78.3
2.9,69.2,6.5,57.0,1,61.3
3.3,51.9,4.1,94.1,0,53.0
6.7,51.5,6.0,83.3,1,77.8
7.5,69.4,5.1,65.4,1,77.0
7.9,58.0,4.6,99.2,1,82.0
7.9,51.2,9.7,62.6,0,76.3
0.9,87.8,7.6,34.1,1,66.3
4.9,72.9,8.4,48.4,1,82.6
0.6,64.5,5.9,60.5,0,51.9
5.5,95.0,6.4,41.0,0,72.9
4.4,55.8,5.4,96.3,1,68.0
8.9,97.8,4.6,83.7,1,100.0
3.5,65.7,5.1,48.8,0,64.7
1.2,94.4,8.8,71.4,1,72.7
1.4,80.1,8.1,80.5,1,61.3
7.6,91.3,7.3,95.9,1,100.0
6.2,99.2,6.9,91.7,1,99.0
1.0,64.4,9.5,66.1,0,53.1
0.8,98.1,4.4,84.2,1,71.2
7.0,69.5,5.7,69.4,0,79.0
0.7,69.3,6.1,68.7,1,58.3
8.2,67.0,8.7,38.0,0,74.1
7.1,77.1,10.0,38.8,1,85.9
0.8,57.7,5.4,67.1,0,48.9
0.8,77.7,9.2,48.8,1,55.8
9.9,77.1,9.0,31.5,0,77.2
3.7,88.1,5.3,80.6,1,82.6
3.7,91.7,6.4,32.3,1,70.7
8.1,72.0,6.5,71.7,0,84.1
9.5,65.1,9.9,67.7,0,88.4
9.9,63.0,5.1,97.8,0,89.0
7.5,59.7,8.8,63.9,0,74.6
3.8,52.9,6.0,34.5,0,50.1
0.8,67.1,8.4,68.6,1,53.2
7.8,63.5,6.5,88.9,0,81.0
5.6,98.3,7.5,99.8,0,91.4
4.2,77.9,9.0,60.1,1,78.6
9.1,67.4,8.8,52.4,0,84.0
1.1,79.0,9.2,93.5,0,74.4
4.9,57.0,4.4,43.4,0,62.5
0.1,72.2,8.2,73.1,1,65.9
4.7,81.3,4.8,58.4,0,71.1
0.6,74.4,6.5,32.9,1,51.5
1.2,70.1,7.3,54.3,1,54.8
1.2,99.7,6.4,48.6,0,66.2
6.5,94.0,7.1,78.0,1,98.0
7.5,81.2,10.0,96.4,0,97.5
5.8,78.5,4.8,48.8,0,77.5
9.6,81.0,8.1,86.8,0,92.2
3.7,60.1,6.4,33.9,0,50.1
2.9,69.8,4.8,67.7,0,64.4
8.7,52.0,5.0,34.9,1,71.3
2.2,73.8,9.7,95.4,1,82.8
9.6,77.2,9.3,83.6,1,100.0
0.1,61.4,9.4,76.1,1,57.1
9.7,98.2,9.9,87.7,0,100.0
0.4,95.5,5.2,75.3,0,58.0
8.9,86.1,6.1,97.8,1,96.0
5.3,76.7,8.0,80.0,0,83.7
9.9,93.5,6.9,94.7,1,100.0
0.7,56.5,6.5,66.2,1,55.6
5.5,89.5,6.1,38.2,1,68.1
9.7,56.2,7.6,67.0,1,85.8
5.2,89.7,7.5,38.9,0,68.2
6.3,63.8,5.0,71.5,0,76.9
7.0,93.9,6.8,63.8,1,86.6
4.5,97.2,7.3,73.6,1,80.5
6.3,57.4,7.4,30.7,1,66.5
5.8,73.1,5.3,43.6,1,67.8
9.0,99.0,8.5,64.4,1,100.0
0.5,74.2,4.2,96.5,0,57.5
2.8,93.2,6.1,56.9,1,65.8
9.5,79.4,8.7,59.7,1,85.9
8.9,68.8,7.4,80.0,0,88.7
4.6,64.3,5.6,72.3,0,65.1
6.2,60.2,8.2,50.9,0,64.5
2.8,88.1,7.4,58.8,0,73.6
1.9,69.3,8.8,45.2,0,60.5
4.6,75.6,8.4,97.6,0,82.1
3.5,74.6,7.7,39.1,0,67.7
5.8,78.9,6.9,56.0,0,77.6
0.8,93.3,4.8,31.8,0,49.7
9.7,99.0,5.6,45.5,1,89.8
9.9,70.4,6.5,84.6,0,95.9
7.0,91.4,7.6,44.1,1,85.9
5.4,88.2,7.1,35.6,1,75.3
3.1,78.7,5.7,63.2,1,64.9
8.1,97.8,4.0,30.7,1,84.4
6.8,60.0,7.0,35.9,1,66.9
1.6,55.5,5.7,86.5,1,60.4
9.1,92.7,8.4,84.0,1,100.0
8.2,72.0,4.1,94.1,1,86.6
9.5,92.3,7.5,89.8,0,95.5
7.3,94.7,9.6,77.8,1,93.7
6.1,53.1,5.0,33.7,1,65.5
4.2,94.2,6.8,84.8,1,85.6
9.3,72.4,4.5,89.2,1,92.1
8.7,75.5,7.8,85.9,0,90.3
0.5,81.3,7.3,65.6,1,64.8
0.3,96.3,6.4,46.3,0,55.0
3.8,51.0,7.1,89.2,0,67.7
8.1,73.8,9.4,80.9,1,91.1
9.9,84.4,5.2,98.7,1,98.4
1.5,86.1,4.1,40.9,0,51.8
5.9,84.6,9.2,45.8,1,79.6
3.8,56.7,7.5,44.8,1,60.9
9.7,65.0,9.3,85.5,0,95.5
8.4,67.9,7.6,43.1,0,63.1
8.4,90.2,8.9,34.7,1,85.1
4.7,63.9,6.6,99.9,1,77.6
4.1,60.5,8.5,31.7,1,67.9
2.7,97.9,9.5,88.5,0,78.3
0.6,50.4,7.4,55.6,1,50.8
8.6,99.9,5.1,88.9,0,100.0
8.1,83.8,5.6,68.8,0,80.7
10.0,91.4,5.2,93.1,1,100.0
10.0,64.7,5.5,94.8,0,88.8
5.6,50.7,5.8,30.6,1,57.1
7.7,86.9,7.3,35.3,1,79.4
9.4,91.7,7.5,47.5,0,87.9
8.5,87.0,6.6,76.9,1,100.0
2.5,57.1,7.7,92.2,0,69.1
4.5,87.7,4.5,62.2,0,75.6
1.3,88.4,4.5,72.5,1,67.9
9.5,82.9,5.0,43.2,1,79.8
6.1,88.3,7.1,86.3,1,91.5
2.3,92.3,5.3,97.7,1,82.5
6.7,80.7,5.7,48.8,0,71.6
6.2,54.4,6.4,64.6,0,72.8
3.6,74.4,8.9,36.0,0,66.2
1.1,53.9,4.1,69.1,1,59.2
6.7,70.4,7.9,65.2,0,77.1
5.2,70.4,8.0,40.1,0,63.0
7.7,53.3,8.8,60.9,1,78.2
5.2,67.4,9.6,53.4,1,80.8
8.5,55.5,4.1,66.5,1,70.3
5.5,90.4,4.9,71.0,0,70.3
5.6,97.4,9.3,30.6,1,81.2
8.8,53.6,6.8,83.3,0,81.1
4.0,97.8,7.4,79.9,0,81.9
1.3,76.1,8.0,55.6,0,63.5
0.3,65.0,8.1,33.7,0,44.6
7.6,53.8,9.6,82.8,0,75.4
6.2,75.0,10.0,96.9,1,100.0
7.0,89.7,8.3,46.8,0,78.7
2.1,85.4,5.7,52.6,1,60.3
1.4,52.5,9.3,42.9,0,54.7
0.1,53.6,4.3,70.4,0,44.3
3.5,70.1,5.4,40.8,1,60.4
5.9,64.8,9.4,54.9,0,75.6
3.9,61.6,5.5,78.8,0,70.1
4.4,64.1,5.3,69.2,1,67.2
9.0,90.2,4.8,57.1,1,96.3
3.5,96.5,9.2,59.4,0,68.5
5.1,70.3,7.0,69.3,0,76.0
7.8,95.3,8.0,30.4,0,79.6
4.0,66.1,5.4,35.5,1,65.0
6.2,73.8,8.5,91.7,0,86.4
8.6,61.3,8.6,35.5,1,76.1
9.5,82.0,5.9,79.5,1,98.8
1.5,98.9,6.5,94.4,0,79.1
9.3,80.2,5.3,48.9,1,88.7
4.9,67.9,9.9,55.9,0,68.1
2.6,82.4,7.9,69.8,0,67.7
4.6,56.1,9.6,91.7,1,78.5
9.8,94.4,5.8,95.9,1,100.0
4.9,75.2,8.7,81.8,1,85.5
3.3,72.5,8.6,36.1,1,56.2
6.3,79.3,8.1,76.8,1,88.2
2.4,81.2,9.8,58.7,1,70.5
0.8,53.6,6.4,62.9,0,45.8
1.3,84.1,4.8,33.4,0,49.0
1.3,62.1,8.0,43.4,0,50.7
1.5,85.7,8.4,85.3,1,60.3
1.4,91.1,7.5,61.8,1,66.1
6.4,90.2,5.2,51.1,1,76.6
1.8,77.6,7.0,56.9,0,62.9
3.5,76.0,5.9,89.8,0,69.2
9.0,57.1,6.6,82.4,1,86.5
4.7,88.8,7.9,49.1,1,83.4
6.7,63.6,8.5,38.2,1,77.4
1.7,74.8,5.4,47.6,1,61.3
1.9,64.2,6.4,94.5,0,63.0
0.4,56.7,5.6,70.7,0,52.0
1.7,81.5,5.2,67.3,0,60.6
2.8,52.7,8.7,71.7,1,63.9
1.8,87.4,9.5,55.6,0,69.0
0.9,65.9,6.2,86.5,1,60.2
1.2,50.0,8.5,66.6,1,62.6
4.6,75.6,9.4,38.2,1,71.0
2.1,52.3,9.1,39.0,0,53.9
3.6,63.8,5.1,67.6,0,67.9
5.0,85.3,9.7,95.6,1,95.6
6.9,53.1,6.3,51.6,0,61.9
0.4,92.0,6.0,90.9,1,72.6
8.0,50.2,4.4,83.5,1,81.9
6.3,62.3,6.9,47.3,1,75.1
0.8,87.0,4.7,32.5,0,46.5
8.7,65.8,5.5,37.1,0,71.0
9.2,55.1,5.9,81.0,1,90.1
0.6,68.0,8.9,44.0,0,49.7
2.8,63.5,9.3,56.0,0,61.1
8.1,92.1,5.8,65.1,0,94.3
7.5,65.7,9.2,80.8,0,85.4
1.8,89.4,9.1,37.9,1,63.6
2.1,94.6,8.6,58.4,0,66.9
3.7,71.7,4.9,64.0,1,68.2
4.8,95.5,8.1,67.9,1,79.7
6.2,68.9,9.7,87.3,0,83.6
3.7,98.2,8.1,42.0,1,76.8
4.6,54.5,6.0,86.5,1,76.6
7.5,84.4,7.0,78.5,0,91.0
0.4,74.7,7.9,68.9,1,59.1
2.5,69.4,7.1,79.0,1,73.7
7.1,81.6,4.7,58.8,0,76.6
9.0,85.2,5.9,39.7,0,77.4
